"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"basedosdados","basedosdados","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0",NA,NA,"purrr (>= 0.3.4), dplyr (>= 1.0.6), tibble (>= 3.1.1), httr
(>= 1.4.2), googleAuthR (>= 1.4.0), cli (>= 2.5.0), magrittr
(>= 2.0.1), readr (>= 1.4.0), stringr (>= 1.4.0), dotenv (>=
1.0.2), bigrquery (>= 1.4.0), glue (>= 1.4.2), rlang (>=
0.4.0), writexl (>= 1.4.0), fs (>= 1.5.0), dbplyr (>= 2.1.1),
scales (>= 1.1.1), DBI (>= 1.1.1)",NA,"rmarkdown, knitr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"bayestestR","bayestestR","C:/Users/Victor/Documents/R/win-library/4.1","0.11.5.1",NA,"R (>= 3.4)","insight (>= 0.14.1), datawizard (>= 0.2.0), methods, stats,
utils",NA,"BayesFactor, bayesQR, blavaan, bridgesampling, brms, dplyr,
effectsize, emmeans, gamm4, GGally, ggdist, ggplot2, ggridges,
glmmTMB, httr, KernSmooth, knitr, lavaan, lme4, logspline,
MASS, mclust, mediation, modelbased, parameters, patchwork,
performance, rmarkdown, rstan, rstanarm, see, spelling,
stringr, testthat, tidyr, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"bbmle","bbmle","C:/Users/Victor/Documents/R/win-library/4.1","1.0.23.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"bdsmatrix","bdsmatrix","C:/Users/Victor/Documents/R/win-library/4.1","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.1.0"
"beepr","beepr","C:/Users/Victor/Documents/R/win-library/4.1","1.3",NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"bezier","bezier","C:/Users/Victor/Documents/R/win-library/4.1","1.1.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"BH","BH","C:/Users/Victor/Documents/R/win-library/4.1","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.0"
"bigrquery","bigrquery","C:/Users/Victor/Documents/R/win-library/4.1","1.4.0",NA,"R (>= 3.3)","assertthat, bit64, curl, DBI, gargle (>= 1.2.0), glue (>=
1.3.0), httr, lifecycle, jsonlite, methods, prettyunits,
progress, Rcpp, rlang (>= 0.4.9), tibble","progress, rapidjsonr, Rcpp","blob, covr, DBItest, dbplyr (>= 1.3.0), dplyr (>= 0.7.0),
hms, readr, sodium, testthat (>= 2.1.0), withr, wk (>= 0.3.2)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"bit","bit","C:/Users/Victor/Documents/R/win-library/4.1","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"bit64","bit64","C:/Users/Victor/Documents/R/win-library/4.1","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"bitops","bitops","C:/Users/Victor/Documents/R/win-library/4.1","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"blob","blob","C:/Users/Victor/Documents/R/win-library/4.1","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"blogdown","blogdown","C:/Users/Victor/Documents/R/win-library/4.1","1.3",NA,NA,"rmarkdown (>= 2.6), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), later, xfun (>=
0.22), servr (>= 0.21)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
whoami",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"bmp","bmp","C:/Users/Victor/Documents/R/win-library/4.1","0.3",NA,NA,NA,NA,"pixmap, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"bookdown","bookdown","C:/Users/Victor/Documents/R/win-library/4.1","0.24",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.31), rmarkdown (>= 2.9),
jquerylib, xfun (>= 0.22), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.2.1), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.0.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"bradfordr","bradfordr","C:/Users/Victor/Documents/R/win-library/4.1","0.0.0.9000",NA,NA,"stats",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"brew","brew","C:/Users/Victor/Documents/R/win-library/4.1","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"brio","brio","C:/Users/Victor/Documents/R/win-library/4.1","1.1.2",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"broom","broom","C:/Users/Victor/Documents/R/win-library/4.1","0.7.10",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0), ggplot2",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam (>=
1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc, irlba,
joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps, lfe,
lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"bslib","bslib","C:/Users/Victor/Documents/R/win-library/4.1","0.2.5.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, magrittr",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"BWStest","BWStest","C:/Users/Victor/Documents/R/win-library/4.1","0.2.2",NA,NA,"memoise, Rcpp (>= 0.12.3)","Rcpp","testthat",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.1"
"cachem","cachem","C:/Users/Victor/Documents/R/win-library/4.1","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"callr","callr","C:/Users/Victor/Documents/R/win-library/4.1","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"camcorder","camcorder","C:/Users/Victor/Documents/R/win-library/4.1","0.0.2.9000",NA,NA,"ggplot2, gifski, tools, magick, pdftools, rsvg, jsonlite,
rlang",NA,"knitr, rmarkdown, markdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"car","car","C:/Users/Victor/Documents/R/win-library/4.1","3.0-12",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, lme4 (>=
1.1-27.1), nlme",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), rio, sandwich, SparseM,
survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"carData","carData","C:/Users/Victor/Documents/R/win-library/4.1","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"caret","caret","C:/Users/Victor/Documents/R/win-library/4.1","6.0-90",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"cellranger","cellranger","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"checkmate","checkmate","C:/Users/Victor/Documents/R/win-library/4.1","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"classInt","classInt","C:/Users/Victor/Documents/R/win-library/4.1","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"cli","cli","C:/Users/Victor/Documents/R/win-library/4.1","3.1.0",NA,"R (>= 2.10)","glue, utils",NA,"asciicast, callr, covr, grDevices, htmltools, htmlwidgets,
knitr, methods, mockery, processx, ps (>= 1.3.4.9000), rlang,
rmarkdown, rstudioapi, shiny, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"clipr","clipr","C:/Users/Victor/Documents/R/win-library/4.1","0.7.1",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"clisymbols","clisymbols","C:/Users/Victor/Documents/R/win-library/4.1","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"cmprsk","cmprsk","C:/Users/Victor/Documents/R/win-library/4.1","2.2-10",NA,"R (>= 3.0.0), survival",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"coda","coda","C:/Users/Victor/Documents/R/win-library/4.1","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"coin","coin","C:/Users/Victor/Documents/R/win-library/4.1","1.4-1",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-5),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-5)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"colorRamps","colorRamps","C:/Users/Victor/Documents/R/win-library/4.1","2.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"4.1.1"
"colorspace","colorspace","C:/Users/Victor/Documents/R/win-library/4.1","2.0-2",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"colourpicker","colourpicker","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"combinat","combinat","C:/Users/Victor/Documents/R/win-library/4.1","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.1"
"commonmark","commonmark","C:/Users/Victor/Documents/R/win-library/4.1","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"conflicted","conflicted","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,"R (>= 3.2)","memoise, rlang (>= 0.3.4)",NA,"callr, crayon, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"conquer","conquer","C:/Users/Victor/Documents/R/win-library/4.1","1.2.0",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats, caret","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"coronavirus","coronavirus","C:/Users/Victor/Documents/R/win-library/4.1","0.3.32",NA,"R (>= 3.0.2)","devtools(>= 2.2.2)",NA,"DT, dplyr, knitr, plotly, readr, rmarkdown, remotes, testthat
(>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"correlation","correlation","C:/Users/Victor/Documents/R/win-library/4.1","0.7.1.1",NA,"R (>= 3.4)","bayestestR (>= 0.11.5), datasets, datawizard (>= 0.2.1),
insight (>= 0.14.5), parameters (>= 0.15.0), stats",NA,"BayesFactor, poorman, energy, forcats, ggcorrplot, ggplot2,
ggraph, gt, Hmisc, knitr, lme4, mbend, polycor, ppcor, psych,
rmarkdown, rmcorr, rstanarm, see, spelling, testthat (>=
3.0.1), tidyr, tidygraph, wdm, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"corrplot","corrplot","C:/Users/Victor/Documents/R/win-library/4.1","0.89",NA,NA,NA,NA,"knitr, RColorBrewer, rmarkdown, prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"cowplot","cowplot","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"cpp11","cpp11","C:/Users/Victor/Documents/R/win-library/4.1","0.4.1",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"crayon","crayon","C:/Users/Victor/Documents/R/win-library/4.1","1.4.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"credentials","credentials","C:/Users/Victor/Documents/R/win-library/4.1","1.3.0",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"crosstalk","crosstalk","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"crul","crul","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"curl","curl","C:/Users/Victor/Documents/R/win-library/4.1","4.3.1",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"CursoRTarefas","CursoRTarefas","C:/Users/Victor/Documents/R/win-library/4.1","0.0.0.9000",NA,NA,"beepr, dplyr (>= 1.0.6), gradethis (>= 0.2.3.9001),
gradethisBR (>= 0.2.3.9001), learnr (>= 0.10.1.9009),
learnrhash (>= 0.1.0.9000), magrittr, rmarkdown",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"dados","dados","C:/Users/Victor/Documents/R/win-library/4.1","0.0.0.9000",NA,"R (>= 3.5.0)","AmesHousing, babynames, dplyr, forcats, fueleconomy,
gapminder, ggplot2, Lahman, palmerpenguins, nasaweather,
nycflights13, rlang, tibble, tidyr, yaml, pixarfilms",NA,"covr, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"data.table","data.table","C:/Users/Victor/Documents/R/win-library/4.1","1.14.2",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"datawizard","datawizard","C:/Users/Victor/Documents/R/win-library/4.1","0.2.1",NA,"R (>= 3.4)","insight (>= 0.14.4), stats, utils",NA,"bayestestR, knitr, boot, dplyr, effectsize, gamm4, ggplot2,
lfe, lme4, MASS, modelbased, parameters, performance, psych,
rstanarm, see, spelling, testthat (>= 3.0.0), tidyr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"DBI","DBI","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, dbplyr, dplyr, glue, hms, knitr, magrittr,
rmarkdown, rprojroot, RMariaDB, RSQLite (>= 1.1-2), testthat,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"dbplyr","dbplyr","C:/Users/Victor/Documents/R/win-library/4.1","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DEoptimR","DEoptimR","C:/Users/Victor/Documents/R/win-library/4.1","1.0-9",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"desc","desc","C:/Users/Victor/Documents/R/win-library/4.1","1.3.0",NA,"R (>= 3.1.0)","utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr, spelling, gh",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DescTools","DescTools","C:/Users/Victor/Documents/R/win-library/4.1","0.99.44",NA,"base, stats, R (>= 3.6.0)","graphics, grDevices, methods, MASS, utils, boot, mvtnorm,
expm, Rcpp (>= 0.12.10), rstudioapi, Exact, gld, data.table","Rcpp, BH","RDCOMClient, tcltk, VGAM, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"deSolve","deSolve","C:/Users/Victor/Documents/R/win-library/4.1","1.28",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
